,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l
0,3.575,3.13958665,-41.86813228,-4.34282714,7.78071692,3.565,3.57,-24.25140807,-25.35023991,-26.43656873,0.09393495,-0.80368401,-1.95401141,-15.01043723,-15.51903002,-15.96339722,6.68142311,5.96550542,5.04023186
1,3.58,4.84185931,-37.42813696,-2.29177941,9.50464513,3.57,3.575,-25.35023991,-26.43656873,-27.50107122,-0.80368401,-1.95401141,-3.39921223,-15.51903002,-15.96339722,-16.32804698,5.96550542,5.04023186,3.8688893
2,3.585,6.27345086,-32.88889188,0.56324668,11.18254378,3.575,3.58,-26.43656873,-27.50107122,-28.50393092,-1.95401141,-3.39921223,-5.13652987,-15.96339722,-16.32804698,-16.64563995,5.04023186,3.8688893,2.64044549
3,3.59,7.44005776,-28.32983433,3.90578621,12.72779989,3.58,3.585,-27.50107122,-28.50393092,-29.79405452,-3.39921223,-5.13652987,-6.57868391,-16.32804698,-16.64563995,-17.06820199,3.8688893,2.64044549,1.49815781
4,3.595,8.32136122,-23.84959317,7.40114857,14.06769993,3.585,3.59,-28.50393092,-29.79405452,-30.89064717,-5.13652987,-6.57868391,-8.7054943,-16.64563995,-17.06820199,-17.46595417,2.64044549,1.49815781,0.22006496
5,3.6,9.01812258,-19.56730109,10.83105523,15.16707485,3.59,3.595,-29.79405452,-30.89064717,-32.27492131,-6.57868391,-8.7054943,-10.47425726,-17.06820199,-17.46595417,-17.98740784,1.49815781,0.22006496,-0.83679445
6,3.605,9.53638533,-15.56973608,14.11442204,16.02228963,3.595,3.6,-30.89064717,-32.27492131,-33.62938346,-8.7054943,-10.47425726,-12.58381477,-17.46595417,-17.98740784,-18.56780951,0.22006496,-0.83679445,-1.90345442
7,3.61,9.83152439,-11.94505413,17.25658553,16.6445021,3.6,3.605,-32.27492131,-33.62938346,-35.03563176,-10.47425726,-12.58381477,-14.72592193,-17.98740784,-18.56780951,-19.15035717,-0.83679445,-1.90345442,-2.74126654
8,3.615,9.88063582,-8.75027536,20.26285327,17.05364952,3.605,3.61,-33.62938346,-35.03563176,-36.48506778,-12.58381477,-14.72592193,-17.02721302,-18.56780951,-19.15035717,-19.84724811,-1.90345442,-2.74126654,-3.41207322
9,3.62,9.69361209,-6.00761284,23.12303379,17.27689217,3.61,3.615,-35.03563176,-36.48506778,-38.03810755,-14.72592193,-17.02721302,-19.20673037,-19.15035717,-19.84724811,-20.43585204,-2.74126654,-3.41207322,-3.97995604
10,3.625,9.2105296,-3.73176441,25.80394802,17.33976873,3.615,3.62,-36.48506778,-38.03810755,-39.65709215,-17.02721302,-19.20673037,-21.38209488,-19.84724811,-20.43585204,-21.0541649,-3.41207322,-3.97995604,-4.42812501
11,3.63,8.38225903,-1.91104394,28.27622098,17.26991142,3.62,3.625,-38.03810755,-39.65709215,-41.32684454,-19.20673037,-21.38209488,-23.49491212,-20.43585204,-21.0541649,-21.59526778,-3.97995604,-4.42812501,-4.73246981
12,3.635,2.3971528,1.62341989,30.52038208,17.09317169,3.625,3.63,-39.65709215,-41.32684454,-43.07230527,-21.38209488,-23.49491212,-25.40297279,-21.0541649,-21.59526778,-22.13563983,-4.42812501,-4.73246981,-4.97863172
13,3.64,2.70397721,1.69609146,32.53111014,16.82968797,3.63,3.635,-41.32684454,-43.07230527,-44.94314761,-23.49491212,-25.40297279,-27.03246864,-21.59526778,-22.13563983,-22.62519858,-4.73246981,-4.97863172,-4.9672837
14,3.645,2.97311547,1.76294989,34.31420744,16.49501278,3.635,3.64,-43.07230527,-44.94314761,-46.71944205,-25.40297279,-27.03246864,-28.87943203,-22.13563983,-22.62519858,-22.96086674,-4.97863172,-4.9672837,-5.01001101
15,3.65,3.20949327,1.82206151,35.88225867,16.1013811,3.64,3.645,-44.94314761,-46.71944205,-48.65360576,-27.03246864,-28.87943203,-30.06635865,-22.62519858,-22.96086674,-23.25177606,-4.9672837,-5.01001101,-5.00802999
16,3.655,3.41778987,1.87154235,37.24747258,15.65999155,3.645,3.65,-46.71944205,-48.65360576,-50.45057156,-28.87943203,-30.06635865,-31.52100493,-22.96086674,-23.25177606,-23.41013682,-5.01001101,-5.00802999,-4.93364733
