,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l,delta_t_prev,delta_t,del_delta_t,knee_angular_vel_r_prev,knee_angular_vel_r,knee_angular_acc_r,ankle_angular_vel_r_prev,ankle_angular_vel_r,ankle_angular_acc_r,knee_angular_vel_l_prev,knee_angular_vel_l,knee_angular_acc_l,ankle_angular_vel_l_prev,ankle_angular_vel_l,ankle_angular_acc_l,knee_r_sin,knee_r_sin2,knee_r_cos,knee_r_cos2,ankle_r_sin,ankle_r_sin2,ankle_r_cos,ankle_r_cos2,knee_l_sin,knee_l_sin2,knee_l_cos,knee_l_cos2,ankle_l_sin,ankle_l_sin2,ankle_l_cos,ankle_l_cos2,knee_angle_r_^2,knee_angle_r_^3,ankle_angle_r_^2,ankle_angle_r_^3,knee_angle_l_^2,knee_angle_l_^3,ankle_angle_l_^2,ankle_angle_l_^3,knee_angle_r_tan,ankle_angle_r_tan,knee_angle_l_tan,ankle_angle_l_tan
0,3.23,17.64811392,-34.32349332,-13.33808444,-0.04504686,3.22,3.225,-16.16127293,-15.80386453,-15.43827041,-5.69764164,-5.51480569,-5.37055813,-60.24036731,-60.86987937,-61.39618098,-27.10484379,-26.34313002,-25.62591482,0.005,0.005,0.005,71.48168,73.118824,327.4288,36.56719,28.849512,-1543.5356,-125.902412,-105.260322,4128.418,152.342754,143.44304,-1779.9428,-0.266200021,-0.513189883,0.963917812,0.858275098,-0.093596724,-0.186371704,0.995610191,0.982479307,-0.877951067,-0.840638811,0.478750378,-0.54159615,-0.432493602,-0.77990447,0.901637002,0.625898568,238.3401933,-3679.560353,28.84289463,-154.9024422,3769.491039,-231432.354,656.6875104,-16828.2182,-0.276164645,-0.094009407,-1.833838898,-0.479675969
1,3.235,16.01885836,-35.5283314,-10.80325,0.1107078,3.225,3.23,-15.80386453,-15.43827041,-15.06631443,-5.51480569,-5.37055813,-5.21518054,-60.86987937,-61.39618098,-61.86536537,-26.34313002,-25.62591482,-24.95926542,0.005,0.005,0.005,73.118824,74.391196,254.4744,28.849512,31.075518,445.2012,-105.260322,-93.836878,2284.6888,143.44304,133.32988,-2022.632,-0.259936839,-0.502003343,0.965625621,0.864865679,-0.090896437,-0.181040315,0.995860351,0.983475675,-0.881841984,-0.83165641,0.471545031,-0.555290568,-0.421973813,-0.765129686,0.906608019,0.643876202,226.9938305,-3419.960424,27.19810806,-141.8430439,3827.323432,-236778.7625,622.9649303,-15548.74704,-0.269190081,-0.091274281,-1.870111923,-0.465442401
2,3.24,14.3967366,-36.70362406,-8.44525751,0.25307596,3.23,3.235,-15.43827041,-15.06631443,-14.68730104,-5.37055813,-5.21518054,-5.07355503,-61.39618098,-61.86536537,-62.27209148,-25.62591482,-24.95926542,-24.31928811,0.005,0.005,0.005,74.391196,75.802678,282.2964,31.075518,28.325102,-550.0832,-93.836878,-81.345222,2498.3312,133.32988,127.995462,-1066.8836,-0.253543554,-0.490517516,0.967323972,0.871431332,-0.088434563,-0.17617615,0.996081989,0.984358656,-0.885167098,-0.823689166,0.465273262,-0.567041584,-0.411821151,-0.750556149,0.911264692,0.660806679,215.7168118,-3168.297755,25.74096064,-130.5981803,3877.813377,-241479.5494,591.4277742,-14383.10244,-0.26210821,-0.088782413,-1.902467154,-0.451922646
3,3.245,12.79489148,-37.84591273,-6.30174567,0.3804043,3.235,3.24,-15.06631443,-14.68730104,-14.30203504,-5.21518054,-5.07355503,-4.94054081,-61.86536537,-62.27209148,-62.61307951,-24.95926542,-24.31928811,-23.69665132,0.005,0.005,0.005,75.802678,77.0532,250.1044,28.325102,26.602844,-344.4516,-81.345222,-68.197606,2629.5232,127.995462,124.527358,-693.6208,-0.24703343,-0.478754225,0.969006958,0.877948969,-0.086121886,-0.17160382,0.996284608,0.985166041,-0.887920417,-0.816881637,0.459997102,-0.576805333,-0.40189426,-0.736017961,0.915686084,0.676962008,204.5482063,-2925.455614,24.4089435,-120.5933815,3920.397726,-245468.1745,561.5312838,-13306.41104,-0.25493463,-0.086443056,-1.930273937,-0.438899604
4,3.25,11.22610329,-38.95798234,-4.40105242,0.49168722,3.24,3.245,-14.68730104,-14.30203504,-13.91028648,-5.07355503,-4.94054081,-4.81831396,-62.27209148,-62.61307951,-62.89062416,-24.31928811,-23.69665132,-23.0804872,0.005,0.005,0.005,77.0532,78.349712,259.3024,26.602844,24.44537,-431.4948,-68.197606,-55.50893,2537.7352,124.527358,123.232824,-258.9068,-0.240402314,-0.466704233,0.970673337,0.884413455,-0.083996357,-0.167399038,0.996466062,0.985889224,-0.890138248,-0.81125522,0.455690575,-0.5846922,-0.392023837,-0.721288625,0.919955059,0.692634622,193.49607,-2691.585766,23.21614942,-111.8626968,3955.230607,-248746.9216,532.7088894,-12295.1807,-0.247665517,-0.084294248,-1.953383056,-0.426133682
5,3.255,9.70061067,-40.0477597,-2.76186044,0.5865473,3.245,3.25,-14.30203504,-13.91028648,-13.51381132,-4.94054081,-4.81831396,-4.70362591,-62.61307951,-62.89062416,-63.10836393,-23.69665132,-23.0804872,-22.46128177,0.005,0.005,0.005,78.349712,79.295032,189.064,24.44537,22.93761,-301.552,-55.50893,-43.547954,2392.1952,123.232824,123.841086,121.6524,-0.23367975,-0.454420007,0.972313619,0.890787549,-0.08200158,-0.16345083,0.996632199,0.986551482,-0.891863566,-0.806787847,0.452304522,-0.59084124,-0.382059024,-0.706150466,0.924137924,0.708061805,182.6230964,-2467.934067,22.1240967,-104.0634745,3982.665598,-251339.51,504.5091788,-11331.92282,-0.240333721,-0.082278678,-1.971821026,-0.413422081
6,3.26,8.22739267,-41.12286804,-1.39341983,0.66518423,3.25,3.255,-13.91028648,-13.51381132,-13.10902219,-4.81831396,-4.70362591,-4.59017977,-62.89062416,-63.10836393,-63.2709844,-23.0804872,-22.46128177,-21.83235348,0.005,0.005,0.005,79.295032,80.957826,332.5588,22.93761,22.689228,-49.6764,-43.547954,-32.524094,2204.772,123.841086,125.785658,388.9144,-0.226804674,-0.441788408,0.973940265,0.89711928,-0.08002808,-0.159542797,0.99679261,0.987191013,-0.893143731,-0.803420941,0.44977136,-0.595411447,-0.371892069,-0.690436947,0.928275977,0.723392578,171.8464628,-2252.739094,21.06975032,-96.71394168,4003.217467,-253287.5099,476.6516585,-10406.42749,-0.23287329,-0.080285587,-1.985772795,-0.400626622
7,3.265,6.80849765,-42.19152136,-0.29623009,0.72829979,3.255,3.26,-13.51381132,-13.10902219,-12.70173098,-4.70362591,-4.59017977,-4.4833049,-63.10836393,-63.2709844,-63.37993962,-22.46128177,-21.83235348,-21.18928581,0.005,0.005,0.005,80.957826,81.458242,100.0832,22.689228,21.374974,-262.8508,-32.524094,-21.791044,2146.61,125.785658,128.613534,565.5752,-0.219875676,-0.428989714,0.975527902,0.903309374,-0.078168606,-0.155858844,0.996940153,0.987779338,-0.893997413,-0.801150635,0.448072121,-0.598462748,-0.361450221,-0.674026161,0.932391408,0.738707475,161.3339699,-2049.220683,20.10002283,-90.11453083,4017.016746,-254598.2788,448.9858331,-9513.689143,-0.225391479,-0.078408524,-1.99520874,-0.387659322
8,3.27,5.43969823,-43.26066729,0.5369342,0.77700615,3.26,3.265,-13.10902219,-12.70173098,-12.26158701,-4.59017977,-4.4833049,-4.4166253,-63.2709844,-63.37993962,-63.4319657,-21.83235348,-21.18928581,-20.55366581,0.005,0.005,0.005,81.458242,88.028794,1314.1104,21.374974,13.33592,-1607.8108,-21.791044,-10.405216,2277.1656,128.613534,127.124,-297.9068,-0.212375295,-0.415061254,0.977188177,0.909793468,-0.077008336,-0.153559311,0.997030449,0.988139432,-0.894403905,-0.800062474,0.447260164,-0.599916692,-0.351084557,-0.657471667,0.936343758,0.753479268,150.346516,-1843.486888,19.50657904,-86.15325051,4023.614273,-255225.7625,422.4531782,-8682.961446,-0.217333058,-0.077237697,-1.999739701,-0.374952632
9,3.275,4.11351649,-44.33555772,1.11976275,0.81272456,3.265,3.27,-12.70173098,-12.26158701,-11.86257593,-4.4833049,-4.4166253,-4.28154013,-63.37993962,-63.4319657,-63.43916263,-21.18928581,-20.55366581,-19.88027462,0.005,0.005,0.005,88.028794,79.802216,-1645.3156,13.33592,27.017034,2736.2228,-10.405216,-1.439386,1793.166,127.124,134.678238,1510.8476,-0.205565006,-0.402349698,0.978643463,0.915486057,-0.074657444,-0.148898186,0.997209239,0.988852532,-0.894460079,-0.799911738,0.447147814,-0.600117665,-0.340055814,-0.63958055,0.940405255,0.768724086,140.7207077,-1669.31008,18.33158588,-78.48742061,4024.527355,-255312.6454,395.225319,-7857.187878,-0.210050967,-0.074866379,-2.000367778,-0.361605609
