,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,time_next,delta_t_prev,delta_t,delta_t_next,del_delta_prev,del_delta_next,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,knee_angle_r_next,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,ankle_angle_r_next,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,knee_angle_l_next,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l,ankle_angle_l_next,knee_angle_r_ang_vel_prev,knee_angle_r_ang_vel,knee_angle_r_ang_vel_next,ankle_angle_r_ang_vel_prev,ankle_angle_r_ang_vel,ankle_angle_r_ang_vel_next,knee_angle_l_ang_vel_prev,knee_angle_l_ang_vel,knee_angle_l_ang_vel_next,ankle_angle_l_ang_vel_prev,ankle_angle_l_ang_vel,ankle_angle_l_ang_vel_next,knee_angle_l_acc_prev,knee_angle_l_acc_next,ankle_angle_l_acc_prev,ankle_angle_l_acc_next,knee_angle_r_acc_prev,knee_angle_r_acc_next,ankle_angle_r_acc_prev,ankle_angle_r_acc_next,knee_angle_l_vel_avg,ankle_angle_l_vel_avg,knee_angle_r_vel_avg,ankle_angle_r_vel_avg,knee_angle_l_power_(W),ankle_angle_l_power_(W),knee_angle_r_power_(W),ankle_angle_r_power_(W),knee_angle_l_work_(J),ankle_angle_l_work_(J),knee_angle_r_work_(J),ankle_angle_r_work_(J),Greather_than_Tresh_Knee_r_(80%),Greather_than_Tresh_Ankle_r_(80%),Greather_than_Tresh_Knee_l_(80%),Greather_than_Tresh_Ankle_l_(80%),Threshold,ABS_Max_knee_r,ABS_Max_ankle_r,ABS_Max_knee_l,ABS_Max_ankle_l,Knee_r_work_above_80%_moment,Ankle_r_work_above_80%_moment,Knee_l_work_above_80%_moment,Ankle_l_work_above_80%_moment,Total_energy_needed,Knee_r_work_positive,Ankle_r_work_positive,Knee_l_work_positive,Ankle_l_work_positive,Total_work_positive
0,3.23,17.64811392,-34.32349332,-13.33808444,-0.04504686,3.22,3.225,3.235,0.005,0.005,0.005,0.005,0.005,-16.16127293,-15.80386453,-15.43827041,-15.06631443,-5.69764164,-5.51480569,-5.37055813,-5.21518054,-60.24036731,-60.86987937,-61.39618098,-61.86536537,-27.10484379,-26.34313002,-25.62591482,-24.95926542,71.48168,73.118824,74.391196,36.56719,28.849512,31.075518,-125.902412,-105.260322,-93.836878,152.342754,143.44304,133.32988,327.4288,254.4744,-1543.5356,445.2012,4128.418,2284.6888,-1779.9428,-2022.632,73.75501,29.962515,-99.5486,138.38646,22.71784815,-17.94928339,23.17426596,-0.108801652,0.113589241,-0.089746417,0.11587133,-0.000544008,0,0,0,0,0.8,63.87029864,149.4842867,71.13990501,131.4107943,1.5255154,16.03150142,1.885310711,8.885772318,28.32809985,16.59930912,40.1043718,11.89801436,28.31624966,96.91794494
1,3.235,16.01885836,-35.5283314,-10.80325,0.1107078,3.225,3.23,3.24,0.005,0.005,0.005,0.005,0.005,-15.80386453,-15.43827041,-15.06631443,-14.68730104,-5.51480569,-5.37055813,-5.21518054,-5.07355503,-60.86987937,-61.39618098,-61.86536537,-62.27209148,-26.34313002,-25.62591482,-24.95926542,-24.31928811,73.118824,74.391196,75.802678,28.849512,31.075518,28.325102,-105.260322,-93.836878,-81.345222,143.44304,133.32988,127.995462,254.4744,282.2964,445.2012,-550.0832,2284.6888,2498.3312,-2022.632,-1066.8836,75.096937,29.70031,-87.59105,130.662671,20.99573838,-18.41675714,16.5154924,0.252468454,0.104978692,-0.092083786,0.082577462,0.001262342,0,0,0,0,,,,,,,,,,,Knee_r_work_negative,Ankle_r_work_negative,Knee_l_work_negative,Ankle_l_work_negative,Total_work_negative
2,3.24,14.3967366,-36.70362406,-8.44525751,0.25307596,3.23,3.235,3.245,0.005,0.005,0.005,0.005,0.005,-15.43827041,-15.06631443,-14.68730104,-14.30203504,-5.37055813,-5.21518054,-5.07355503,-4.94054081,-61.39618098,-61.86536537,-62.27209148,-62.61307951,-25.62591482,-24.95926542,-24.31928811,-23.69665132,74.391196,75.802678,77.0532,31.075518,28.325102,26.602844,-93.836878,-81.345222,-68.197606,133.32988,127.995462,124.527358,282.2964,250.1044,-550.0832,-344.4516,2498.3312,2629.5232,-1066.8836,-693.6208,76.427939,27.463973,-74.771414,126.26141,19.20408302,-17.59339604,11.02112321,0.557697754,0.096020415,-0.08796698,0.055105616,0.002788489,0,0,0,0,,,,,,,,,,,-23.8059547,-34.74592027,-35.93660406,-19.69455247,-114.1830315
3,3.245,12.79489148,-37.84591273,-6.30174567,0.3804043,3.235,3.24,3.25,0.005,0.005,0.005,0.005,0.005,-15.06631443,-14.68730104,-14.30203504,-13.91028648,-5.21518054,-5.07355503,-4.94054081,-4.81831396,-61.86536537,-62.27209148,-62.61307951,-62.89062416,-24.95926542,-24.31928811,-23.69665132,-23.0804872,75.802678,77.0532,78.349712,28.325102,26.602844,24.44537,-81.345222,-68.197606,-55.50893,127.995462,124.527358,123.232824,250.1044,259.3024,-344.4516,-431.4948,2629.5232,2537.7352,-693.6208,-258.9068,77.701456,25.524107,-61.853268,123.880091,17.35174398,-16.85958607,6.803006558,0.82247802,0.08675872,-0.08429793,0.034015033,0.00411239,0,0,0,0,,,,,,,,,,,,,,,
4,3.25,11.22610329,-38.95798234,-4.40105242,0.49168722,3.24,3.245,3.255,0.005,0.005,0.005,0.005,0.005,-14.68730104,-14.30203504,-13.91028648,-13.51381132,-5.07355503,-4.94054081,-4.81831396,-4.70362591,-62.27209148,-62.61307951,-62.89062416,-63.10836393,-24.31928811,-23.69665132,-23.0804872,-22.46128177,77.0532,78.349712,79.295032,26.602844,24.44537,22.93761,-68.197606,-55.50893,-43.547954,124.527358,123.232824,123.841086,259.3024,189.064,-431.4948,-301.552,2537.7352,2392.1952,-258.9068,121.6524,78.822372,23.69149,-49.528442,123.536955,15.44386161,-16.10891163,3.804421048,1.0601399,0.077219308,-0.080544558,0.019022105,0.0053007,0,0,0,0,,,,,,,,,,,,,,,
5,3.255,9.70061067,-40.0477597,-2.76186044,0.5865473,3.245,3.25,3.26,0.005,0.005,0.005,0.005,0.005,-14.30203504,-13.91028648,-13.51381132,-13.10902219,-4.94054081,-4.81831396,-4.70362591,-4.59017977,-62.61307951,-62.89062416,-63.10836393,-63.2709844,-23.69665132,-23.0804872,-22.46128177,-21.83235348,78.349712,79.295032,80.957826,24.44537,22.93761,22.689228,-55.50893,-43.547954,-32.524094,123.232824,123.841086,125.785658,189.064,332.5588,-301.552,-49.6764,2392.1952,2204.772,121.6524,388.9144,80.126429,22.813419,-38.036024,124.813372,13.56601304,-15.94578745,1.833471695,1.277737156,0.067830065,-0.079728937,0.009167358,0.006388686,0,0,0,0,,,,,,,,,,,,,,,
6,3.26,8.22739267,-41.12286804,-1.39341983,0.66518423,3.25,3.255,3.265,0.005,0.005,0.005,0.005,0.005,-13.91028648,-13.51381132,-13.10902219,-12.70173098,-4.81831396,-4.70362591,-4.59017977,-4.4833049,-62.89062416,-63.10836393,-63.2709844,-63.37993962,-23.0804872,-22.46128177,-21.83235348,-21.18928581,79.295032,80.957826,81.458242,22.93761,22.689228,21.374974,-43.547954,-32.524094,-21.791044,123.841086,125.785658,128.613534,332.5588,100.0832,-49.6764,-262.8508,2204.772,2146.61,388.9144,565.5752,81.208034,22.032101,-27.157569,127.199596,11.66107503,-15.81308763,0.660465666,1.476743419,0.058305375,-0.079065438,0.003302328,0.007383717,0,0,0,0,,,,,,,,,,,,,,,
7,3.265,6.80849765,-42.19152136,-0.29623009,0.72829979,3.255,3.26,3.27,0.005,0.005,0.005,0.005,0.005,-13.51381132,-13.10902219,-12.70173098,-12.26158701,-4.70362591,-4.59017977,-4.4833049,-4.4166253,-63.10836393,-63.2709844,-63.37993962,-63.4319657,-22.46128177,-21.83235348,-21.18928581,-20.55366581,80.957826,81.458242,88.028794,22.689228,21.374974,13.33592,-32.524094,-21.791044,-10.405216,125.785658,128.613534,127.124,100.0832,1314.1104,-262.8508,-1607.8108,2146.61,2277.1656,565.5752,-297.9068,84.743518,17.355447,-16.09813,127.868767,10.07013166,-12.7802208,0.083230397,1.625369215,0.050350658,-0.063901104,0.000416152,0.008126846,0,0,0,0,,,,,,,,,,,,,,,
8,3.27,5.43969823,-43.26066729,0.5369342,0.77700615,3.26,3.265,3.275,0.005,0.005,0.005,0.005,0.005,-13.10902219,-12.70173098,-12.26158701,-11.86257593,-4.59017977,-4.4833049,-4.4166253,-4.28154013,-63.2709844,-63.37993962,-63.4319657,-63.43916263,-21.83235348,-21.18928581,-20.55366581,-19.88027462,81.458242,88.028794,79.802216,21.374974,13.33592,27.017034,-21.791044,-10.405216,-1.439386,128.613534,127.124,134.678238,1314.1104,-1645.3156,-1607.8108,2736.2228,2277.1656,1793.166,-297.9068,1510.8476,83.915505,20.176477,-5.922301,130.901119,7.966992122,-15.234069,-0.05549948,1.775191391,0.039834961,-0.076170345,-0.000277497,0.008875957,0,0,0,0,,,,,,,,,,,,,,,
9,3.275,4.11351649,-44.33555772,1.11976275,0.81272456,3.265,3.27,3.28,0.005,0.005,0.005,0.005,0.005,-12.70173098,-12.26158701,-11.86257593,-11.42779282,-4.4833049,-4.4166253,-4.28154013,-4.21611099,-63.37993962,-63.4319657,-63.43916263,-63.40002809,-21.18928581,-20.55366581,-19.88027462,-19.20225564,88.028794,79.802216,86.956622,13.33592,27.017034,13.085828,-10.405216,-1.439386,7.826908,127.124,134.678238,135.603796,-1645.3156,1430.8812,2736.2228,-2786.2412,1793.166,1853.2588,1510.8476,185.1116,83.379419,20.051431,3.193761,135.141017,5.986175909,-15.51582654,0.062417418,1.916937417,0.02993088,-0.077579133,0.000312087,0.009584687,0,0,0,0,,,,,,,,,,,,,,,
