,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,time_next,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,knee_angle_r_next,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,ankle_angle_r_next,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,knee_angle_l_next,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l,ankle_angle_l_next
0,3.23,17.64811392,-34.32349332,-13.33808444,-0.04504686,3.22,3.225,3.235,-16.16127293,-15.80386453,-15.43827041,-15.06631443,-5.69764164,-5.51480569,-5.37055813,-5.21518054,-60.24036731,-60.86987937,-61.39618098,-61.86536537,-27.10484379,-26.34313002,-25.62591482,-24.95926542
1,3.235,16.01885836,-35.5283314,-10.80325,0.1107078,3.225,3.23,3.24,-15.80386453,-15.43827041,-15.06631443,-14.68730104,-5.51480569,-5.37055813,-5.21518054,-5.07355503,-60.86987937,-61.39618098,-61.86536537,-62.27209148,-26.34313002,-25.62591482,-24.95926542,-24.31928811
2,3.24,14.3967366,-36.70362406,-8.44525751,0.25307596,3.23,3.235,3.245,-15.43827041,-15.06631443,-14.68730104,-14.30203504,-5.37055813,-5.21518054,-5.07355503,-4.94054081,-61.39618098,-61.86536537,-62.27209148,-62.61307951,-25.62591482,-24.95926542,-24.31928811,-23.69665132
3,3.245,12.79489148,-37.84591273,-6.30174567,0.3804043,3.235,3.24,3.25,-15.06631443,-14.68730104,-14.30203504,-13.91028648,-5.21518054,-5.07355503,-4.94054081,-4.81831396,-61.86536537,-62.27209148,-62.61307951,-62.89062416,-24.95926542,-24.31928811,-23.69665132,-23.0804872
4,3.25,11.22610329,-38.95798234,-4.40105242,0.49168722,3.24,3.245,3.255,-14.68730104,-14.30203504,-13.91028648,-13.51381132,-5.07355503,-4.94054081,-4.81831396,-4.70362591,-62.27209148,-62.61307951,-62.89062416,-63.10836393,-24.31928811,-23.69665132,-23.0804872,-22.46128177
5,3.255,9.70061067,-40.0477597,-2.76186044,0.5865473,3.245,3.25,3.26,-14.30203504,-13.91028648,-13.51381132,-13.10902219,-4.94054081,-4.81831396,-4.70362591,-4.59017977,-62.61307951,-62.89062416,-63.10836393,-63.2709844,-23.69665132,-23.0804872,-22.46128177,-21.83235348
6,3.26,8.22739267,-41.12286804,-1.39341983,0.66518423,3.25,3.255,3.265,-13.91028648,-13.51381132,-13.10902219,-12.70173098,-4.81831396,-4.70362591,-4.59017977,-4.4833049,-62.89062416,-63.10836393,-63.2709844,-63.37993962,-23.0804872,-22.46128177,-21.83235348,-21.18928581
7,3.265,6.80849765,-42.19152136,-0.29623009,0.72829979,3.255,3.26,3.27,-13.51381132,-13.10902219,-12.70173098,-12.26158701,-4.70362591,-4.59017977,-4.4833049,-4.4166253,-63.10836393,-63.2709844,-63.37993962,-63.4319657,-22.46128177,-21.83235348,-21.18928581,-20.55366581
8,3.27,5.43969823,-43.26066729,0.5369342,0.77700615,3.26,3.265,3.275,-13.10902219,-12.70173098,-12.26158701,-11.86257593,-4.59017977,-4.4833049,-4.4166253,-4.28154013,-63.2709844,-63.37993962,-63.4319657,-63.43916263,-21.83235348,-21.18928581,-20.55366581,-19.88027462
9,3.275,4.11351649,-44.33555772,1.11976275,0.81272456,3.265,3.27,3.28,-12.70173098,-12.26158701,-11.86257593,-11.42779282,-4.4833049,-4.4166253,-4.28154013,-4.21611099,-63.37993962,-63.4319657,-63.43916263,-63.40002809,-21.18928581,-20.55366581,-19.88027462,-19.20225564
