,time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev_prev,time_prev,knee_angle_r_prev_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev_prev,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev_prev,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev_prev,ankle_angle_l_prev,ankle_angle_l,delta_t_prev,delta_t,del_delta_t,knee_angular_vel_r_prev,knee_angular_vel_r,knee_angular_acc_r,ankle_angular_vel_r_prev,ankle_angular_vel_r,ankle_angular_acc_r,knee_angular_vel_l_prev,knee_angular_vel_l,knee_angular_acc_l,ankle_angular_vel_l_prev,ankle_angular_vel_l,ankle_angular_acc_l
0,3.23,17.64811392,-34.32349332,-13.33808444,-0.04504686,3.22,3.225,-16.16127293,-15.80386453,-15.43827041,-5.69764164,-5.51480569,-5.37055813,-60.24036731,-60.86987937,-61.39618098,-27.10484379,-26.34313002,-25.62591482,0.005,0.005,0.005,71.48168,73.118824,327.4288,36.56719,28.849512,-1543.5356,-125.902412,-105.260322,4128.418,152.342754,143.44304,-1779.9428
1,3.235,16.01885836,-35.5283314,-10.80325,0.1107078,3.225,3.23,-15.80386453,-15.43827041,-15.06631443,-5.51480569,-5.37055813,-5.21518054,-60.86987937,-61.39618098,-61.86536537,-26.34313002,-25.62591482,-24.95926542,0.005,0.005,0.005,73.118824,74.391196,254.4744,28.849512,31.075518,445.2012,-105.260322,-93.836878,2284.6888,143.44304,133.32988,-2022.632
2,3.24,14.3967366,-36.70362406,-8.44525751,0.25307596,3.23,3.235,-15.43827041,-15.06631443,-14.68730104,-5.37055813,-5.21518054,-5.07355503,-61.39618098,-61.86536537,-62.27209148,-25.62591482,-24.95926542,-24.31928811,0.005,0.005,0.005,74.391196,75.802678,282.2964,31.075518,28.325102,-550.0832,-93.836878,-81.345222,2498.3312,133.32988,127.995462,-1066.8836
3,3.245,12.79489148,-37.84591273,-6.30174567,0.3804043,3.235,3.24,-15.06631443,-14.68730104,-14.30203504,-5.21518054,-5.07355503,-4.94054081,-61.86536537,-62.27209148,-62.61307951,-24.95926542,-24.31928811,-23.69665132,0.005,0.005,0.005,75.802678,77.0532,250.1044,28.325102,26.602844,-344.4516,-81.345222,-68.197606,2629.5232,127.995462,124.527358,-693.6208
4,3.25,11.22610329,-38.95798234,-4.40105242,0.49168722,3.24,3.245,-14.68730104,-14.30203504,-13.91028648,-5.07355503,-4.94054081,-4.81831396,-62.27209148,-62.61307951,-62.89062416,-24.31928811,-23.69665132,-23.0804872,0.005,0.005,0.005,77.0532,78.349712,259.3024,26.602844,24.44537,-431.4948,-68.197606,-55.50893,2537.7352,124.527358,123.232824,-258.9068
5,3.255,9.70061067,-40.0477597,-2.76186044,0.5865473,3.245,3.25,-14.30203504,-13.91028648,-13.51381132,-4.94054081,-4.81831396,-4.70362591,-62.61307951,-62.89062416,-63.10836393,-23.69665132,-23.0804872,-22.46128177,0.005,0.005,0.005,78.349712,79.295032,189.064,24.44537,22.93761,-301.552,-55.50893,-43.547954,2392.1952,123.232824,123.841086,121.6524
6,3.26,8.22739267,-41.12286804,-1.39341983,0.66518423,3.25,3.255,-13.91028648,-13.51381132,-13.10902219,-4.81831396,-4.70362591,-4.59017977,-62.89062416,-63.10836393,-63.2709844,-23.0804872,-22.46128177,-21.83235348,0.005,0.005,0.005,79.295032,80.957826,332.5588,22.93761,22.689228,-49.6764,-43.547954,-32.524094,2204.772,123.841086,125.785658,388.9144
7,3.265,6.80849765,-42.19152136,-0.29623009,0.72829979,3.255,3.26,-13.51381132,-13.10902219,-12.70173098,-4.70362591,-4.59017977,-4.4833049,-63.10836393,-63.2709844,-63.37993962,-22.46128177,-21.83235348,-21.18928581,0.005,0.005,0.005,80.957826,81.458242,100.0832,22.689228,21.374974,-262.8508,-32.524094,-21.791044,2146.61,125.785658,128.613534,565.5752
8,3.27,5.43969823,-43.26066729,0.5369342,0.77700615,3.26,3.265,-13.10902219,-12.70173098,-12.26158701,-4.59017977,-4.4833049,-4.4166253,-63.2709844,-63.37993962,-63.4319657,-21.83235348,-21.18928581,-20.55366581,0.005,0.005,0.005,81.458242,88.028794,1314.1104,21.374974,13.33592,-1607.8108,-21.791044,-10.405216,2277.1656,128.613534,127.124,-297.9068
9,3.275,4.11351649,-44.33555772,1.11976275,0.81272456,3.265,3.27,-12.70173098,-12.26158701,-11.86257593,-4.4833049,-4.4166253,-4.28154013,-63.37993962,-63.4319657,-63.43916263,-21.18928581,-20.55366581,-19.88027462,0.005,0.005,0.005,88.028794,79.802216,-1645.3156,13.33592,27.017034,2736.2228,-10.405216,-1.439386,1793.166,127.124,134.678238,1510.8476
10,3.28,2.82160576,-45.42060148,1.47102355,0.83708054,3.27,3.275,-12.26158701,-11.86257593,-11.42779282,-4.4166253,-4.28154013,-4.21611099,-63.4319657,-63.43916263,-63.40002809,-20.55366581,-19.88027462,-19.20225564,0.005,0.005,0.005,79.802216,86.956622,1430.8812,27.017034,13.085828,-2786.2412,-1.439386,7.826908,1853.2588,134.678238,135.603796,185.1116
11,3.285,1.5543478,-46.52139119,1.61315706,0.85180123,3.275,3.28,-11.86257593,-11.42779282,-11.02743901,-4.28154013,-4.21611099,-4.1113784,-63.43916263,-63.40002809,-63.30976435,-19.88027462,-19.20225564,-18.52366934,0.005,0.005,0.005,86.956622,80.070762,-1377.172,13.085828,20.946518,1572.138,7.826908,18.052748,2045.168,135.603796,135.71726,22.6928
12,3.29,0.30296375,-47.64297044,1.57093576,0.85862064,3.28,3.285,-11.42779282,-11.02743901,-10.60987967,-4.21611099,-4.1113784,-4.01476337,-63.40002809,-63.30976435,-63.17658687,-19.20225564,-18.52366934,-17.85548895,0.005,0.005,0.005,80.070762,83.511868,688.2212,20.946518,19.323006,-324.7024,18.052748,26.635496,1716.5496,135.71726,133.636078,-416.2364
13,3.295,-0.93965465,-48.7884352,1.37025119,0.85919844,3.285,3.29,-11.02743901,-10.60987967,-10.15710312,-4.1113784,-4.01476337,-3.95334152,-63.30976435,-63.17658687,-63.0060244,-18.52366934,-17.85548895,-17.19679646,0.005,0.005,0.005,83.511868,90.55531,1408.6884,19.323006,12.28437,-1407.7272,26.635496,34.112494,1495.3996,133.636078,131.738498,-379.516
14,3.3,-2.18579659,-49.95764927,1.03706794,0.85505609,3.29,3.295,-10.60987967,-10.15710312,-9.74594133,-4.01476337,-3.95334152,-3.85641891,-63.17658687,-63.0060244,-62.79350233,-17.85548895,-17.19679646,-16.56414395,0.005,0.005,0.005,90.55531,82.232358,-1664.5904,12.28437,19.384522,1420.0304,34.112494,42.504414,1678.384,131.738498,126.530502,-1041.5992
15,3.305,-3.44584276,-51.14896973,0.59655831,0.84753132,3.295,3.3,-10.15710312,-9.74594133,-9.35464397,-3.95334152,-3.85641891,-3.75705436,-63.0060244,-62.79350233,-62.53068435,-17.19679646,-16.56414395,-15.95199638,0.005,0.005,0.005,82.232358,78.259472,-794.5772,19.384522,19.87291,97.6776,42.504414,52.563596,2011.8364,126.530502,122.429514,-820.1976
16,3.31,-4.71732033,-52.36351506,0.0724255,0.8377504,3.3,3.305,-9.74594133,-9.35464397,-8.95091299,-3.85641891,-3.75705436,-3.67038348,-62.79350233,-62.53068435,-62.23355982,-16.56414395,-15.95199638,-15.35785819,0.005,0.005,0.005,78.259472,80.746196,497.3448,19.87291,17.334176,-507.7468,52.563596,59.424906,1372.262,122.429514,118.827638,-720.3752
17,3.315,-5.99293817,-53.60105333,-0.51357089,0.82661754,3.305,3.31,-9.35464397,-8.95091299,-8.55154931,-3.75705436,-3.67038348,-3.59081411,-62.53068435,-62.23355982,-61.90177612,-15.95199638,-15.35785819,-14.78021807,0.005,0.005,0.005,80.746196,79.872736,-174.692,17.334176,15.913874,-284.0604,59.424906,66.35674,1386.3668,118.827638,115.528024,-659.9228
18,3.32,-7.26024463,-54.86048813,-1.14189259,0.81482033,3.31,3.315,-8.95091299,-8.55154931,-8.17475281,-3.67038348,-3.59081411,-3.4945593,-62.23355982,-61.90177612,-61.5277379,-15.35785819,-14.78021807,-14.23016555,0.005,0.005,0.005,79.872736,75.3593,-902.6872,15.913874,19.250962,667.4176,66.35674,74.807644,1690.1808,115.528024,110.010504,-1103.504
