time,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l_moment,ankle_angle_l_moment,time_prev,knee_angle_r_prev,knee_angle_r,ankle_angle_r_prev,ankle_angle_r,knee_angle_l_prev,knee_angle_l,ankle_angle_l_prev,ankle_angle_l,delta_t,knee_angular_vel_r,ankle_angular_vel_r,knee_angular_vel_l,ankle_angular_vel_l
3.225,19.27514172,-33.09622251,-16.0038629,-0.21190557,3.22,-16.16127293,-15.80386453,-5.69764164,-5.51480569,-60.24036731,-60.86987937,-27.10484379,-26.34313002,0.005,71.48168,36.56719,-125.902412,152.342754
3.23,17.64811392,-34.32349332,-13.33808444,-0.04504686,3.225,-15.80386453,-15.43827041,-5.51480569,-5.37055813,-60.86987937,-61.39618098,-26.34313002,-25.62591482,0.005,73.118824,28.849512,-105.260322,143.44304
3.235,16.01885836,-35.5283314,-10.80325,0.1107078,3.23,-15.43827041,-15.06631443,-5.37055813,-5.21518054,-61.39618098,-61.86536537,-25.62591482,-24.95926542,0.005,74.391196,31.075518,-93.836878,133.32988
3.24,14.3967366,-36.70362406,-8.44525751,0.25307596,3.235,-15.06631443,-14.68730104,-5.21518054,-5.07355503,-61.86536537,-62.27209148,-24.95926542,-24.31928811,0.005,75.802678,28.325102,-81.345222,127.995462
3.245,12.79489148,-37.84591273,-6.30174567,0.3804043,3.24,-14.68730104,-14.30203504,-5.07355503,-4.94054081,-62.27209148,-62.61307951,-24.31928811,-23.69665132,0.005,77.0532,26.602844,-68.197606,124.527358
3.25,11.22610329,-38.95798234,-4.40105242,0.49168722,3.245,-14.30203504,-13.91028648,-4.94054081,-4.81831396,-62.61307951,-62.89062416,-23.69665132,-23.0804872,0.005,78.349712,24.44537,-55.50893,123.232824
3.255,9.70061067,-40.0477597,-2.76186044,0.5865473,3.25,-13.91028648,-13.51381132,-4.81831396,-4.70362591,-62.89062416,-63.10836393,-23.0804872,-22.46128177,0.005,79.295032,22.93761,-43.547954,123.841086
3.26,8.22739267,-41.12286804,-1.39341983,0.66518423,3.255,-13.51381132,-13.10902219,-4.70362591,-4.59017977,-63.10836393,-63.2709844,-22.46128177,-21.83235348,0.005,80.957826,22.689228,-32.524094,125.785658
3.265,6.80849765,-42.19152136,-0.29623009,0.72829979,3.26,-13.10902219,-12.70173098,-4.59017977,-4.4833049,-63.2709844,-63.37993962,-21.83235348,-21.18928581,0.005,81.458242,21.374974,-21.791044,128.613534
3.27,5.43969823,-43.26066729,0.5369342,0.77700615,3.265,-12.70173098,-12.26158701,-4.4833049,-4.4166253,-63.37993962,-63.4319657,-21.18928581,-20.55366581,0.005,88.028794,13.33592,-10.405216,127.124
3.275,4.11351649,-44.33555772,1.11976275,0.81272456,3.27,-12.26158701,-11.86257593,-4.4166253,-4.28154013,-63.4319657,-63.43916263,-20.55366581,-19.88027462,0.005,79.802216,27.017034,-1.439386,134.678238
3.28,2.82160576,-45.42060148,1.47102355,0.83708054,3.275,-11.86257593,-11.42779282,-4.28154013,-4.21611099,-63.43916263,-63.40002809,-19.88027462,-19.20225564,0.005,86.956622,13.085828,7.826908,135.603796
3.285,1.5543478,-46.52139119,1.61315706,0.85180123,3.28,-11.42779282,-11.02743901,-4.21611099,-4.1113784,-63.40002809,-63.30976435,-19.20225564,-18.52366934,0.005,80.070762,20.946518,18.052748,135.71726
3.29,0.30296375,-47.64297044,1.57093576,0.85862064,3.285,-11.02743901,-10.60987967,-4.1113784,-4.01476337,-63.30976435,-63.17658687,-18.52366934,-17.85548895,0.005,83.511868,19.323006,26.635496,133.636078
3.295,-0.93965465,-48.7884352,1.37025119,0.85919844,3.29,-10.60987967,-10.15710312,-4.01476337,-3.95334152,-63.17658687,-63.0060244,-17.85548895,-17.19679646,0.005,90.55531,12.28437,34.112494,131.738498
3.3,-2.18579659,-49.95764927,1.03706794,0.85505609,3.295,-10.15710312,-9.74594133,-3.95334152,-3.85641891,-63.0060244,-62.79350233,-17.19679646,-16.56414395,0.005,82.232358,19.384522,42.504414,126.530502
3.305,-3.44584276,-51.14896973,0.59655831,0.84753132,3.3,-9.74594133,-9.35464397,-3.85641891,-3.75705436,-62.79350233,-62.53068435,-16.56414395,-15.95199638,0.005,78.259472,19.87291,52.563596,122.429514
3.31,-4.71732033,-52.36351506,0.0724255,0.8377504,3.305,-9.35464397,-8.95091299,-3.75705436,-3.67038348,-62.53068435,-62.23355982,-15.95199638,-15.35785819,0.005,80.746196,17.334176,59.424906,118.827638
3.315,-5.99293817,-53.60105333,-0.51357089,0.82661754,3.31,-8.95091299,-8.55154931,-3.67038348,-3.59081411,-62.23355982,-61.90177612,-15.35785819,-14.78021807,0.005,79.872736,15.913874,66.35674,115.528024
3.32,-7.26024463,-54.86048813,-1.14189259,0.81482033,3.315,-8.55154931,-8.17475281,-3.59081411,-3.4945593,-61.90177612,-61.5277379,-14.78021807,-14.23016555,0.005,75.3593,19.250962,74.807644,110.010504
